dstport,protocol,tag
1415,tcp,tag_ZUHqG
43712,udp,tag_IJBta
14393,tcp,tag_EVxLB
2963,tcp,tag_LeOCj
31667,icmp,tag_NqXHg
59488,icmp,tag_duRAs
35289,udp,tag_xzBai
23590,icmp,tag_ihaQg
10230,udp,tag_FsvBJ
23207,tcp,tag_lCWWh
55318,tcp,tag_ZIGaC
47312,icmp,tag_RKjZv
18705,icmp,tag_dbnZr
15450,icmp,tag_hmoKx
49559,udp,tag_wUOtu
28941,udp,tag_CiNda
30183,tcp,tag_FKxSM
21089,udp,tag_ovJVv
64067,tcp,tag_GzbUJ
61033,icmp,tag_xoggn
35205,udp,tag_BnwZH
57782,icmp,tag_KRnQh
26945,icmp,tag_yywDA
16343,tcp,tag_GuQzP
58979,udp,tag_XcOpQ
20413,udp,tag_TUxnX
490,icmp,tag_CxoaX
55787,icmp,tag_CXqaa
35925,icmp,tag_HwHOJ
50051,icmp,tag_gQBRP
36475,udp,tag_QjqZW
26409,icmp,tag_PsvBC
49788,tcp,tag_KgwyH
34792,tcp,tag_CGNTP
34653,tcp,tag_NgHbS
16101,tcp,tag_ZvJKa
33146,udp,tag_KLhPH
22056,udp,tag_LGlAi
53263,tcp,tag_dXkRM
63882,udp,tag_iEgQz
9315,icmp,tag_HRLvR
40627,tcp,tag_cBSeH
60141,udp,tag_wlGWR
63881,tcp,tag_GZOMn
65208,tcp,tag_CFLJu
353,tcp,tag_KJbop
45677,udp,tag_CgUXL
23831,icmp,tag_BawFl
4750,icmp,tag_LHaXu
15972,udp,tag_GMrEA
27781,tcp,tag_ziNZB
24518,udp,tag_krsmo
28513,tcp,tag_kNrBx
12067,icmp,tag_stcPU
54612,udp,tag_iYIIm
11309,tcp,tag_EoPDj
26062,icmp,tag_IDJyP
217,tcp,tag_GAAQi
54203,icmp,tag_UbuPH
4408,udp,tag_bYOOZ
16023,icmp,tag_Neoyr
5720,udp,tag_oXonV
17463,icmp,tag_VAVPP
28799,udp,tag_VIKJG
62028,udp,tag_dJWEL
64911,tcp,tag_qRaaP
62236,icmp,tag_HDHda
61352,tcp,tag_boKFi
38582,icmp,tag_ptdhZ
46632,tcp,tag_orhhK
7404,tcp,tag_bOYCB
5177,udp,tag_RyKRF
52130,udp,tag_Jhhbo
24268,udp,tag_IXOUa
55852,tcp,tag_dAZGH
21744,udp,tag_KGwuS
61963,udp,tag_FONoB
27885,udp,tag_aomyd
50408,tcp,tag_IsPTk
11204,tcp,tag_EmQZt
50559,icmp,tag_OhtYZ
13302,udp,tag_YIbtx
11895,tcp,tag_xUcMU
4952,udp,tag_ufIHK
10078,tcp,tag_YQvHW
64889,udp,tag_fYkjr
7055,icmp,tag_ZrYyw
39865,udp,tag_FheSR
36700,icmp,tag_ASRmS
3051,icmp,tag_onmkP
62199,tcp,tag_QPFyR
38587,icmp,tag_fYbPY
9972,tcp,tag_kGRWt
35342,udp,tag_LylXD
57198,icmp,tag_RRRnK
48591,icmp,tag_kKmuW
54145,icmp,tag_ssVbB
27689,icmp,tag_QxrSy
3932,icmp,tag_JoHSU
36496,icmp,tag_FTiog
29857,icmp,tag_HCCph
32354,udp,tag_QDVnO
46420,tcp,tag_JhJnD
49171,tcp,tag_bhHwX
54318,tcp,tag_BvCEN
29649,udp,tag_ZhpIb
64809,udp,tag_POMko
40596,tcp,tag_JupSG
18252,udp,tag_vJiPs
56206,tcp,tag_RcNoD
678,udp,tag_oznCz
17316,icmp,tag_tjllt
31793,icmp,tag_XhBGZ
9464,udp,tag_bqgNt
11000,udp,tag_ygofP
44615,icmp,tag_kfnOI
32739,tcp,tag_kSohP
5503,tcp,tag_orLsO
33072,udp,tag_JHeoR
1826,udp,tag_VhpKK
6648,tcp,tag_pQNoj
38215,udp,tag_mDoix
23511,tcp,tag_Oeizg
13137,icmp,tag_SyJWT
65512,udp,tag_hTaPL
39458,udp,tag_eGfOl
56198,tcp,tag_losEA
5057,tcp,tag_WBxCd
41637,tcp,tag_IkeDD
12486,icmp,tag_CCOdh
53233,icmp,tag_bbIyU
25796,icmp,tag_VQIud
37932,tcp,tag_TXtwY
37142,udp,tag_vRWqe
50506,icmp,tag_NKgfo
15036,udp,tag_zWjGf
65023,udp,tag_UgWXD
4749,icmp,tag_xRHFV
22945,tcp,tag_IFVsG
57559,icmp,tag_emoJW
9367,icmp,tag_pQnvr
55991,udp,tag_YMtZu
49406,tcp,tag_asbAY
22111,udp,tag_hSVqU
65033,udp,tag_JQKMZ
40263,udp,tag_zHKux
51184,tcp,tag_vbmgt
52169,tcp,tag_ZLcdE
12151,udp,tag_iorKe
7958,icmp,tag_USkyN
59955,tcp,tag_HwVyt
8976,icmp,tag_OnRhz
52148,udp,tag_XCnmq
59907,icmp,tag_zscgn
47626,tcp,tag_DOVAG
42296,udp,tag_yuoIV
37883,icmp,tag_jTPFU
16576,icmp,tag_omsHc
